,Ticker,Date,Div Amount
213,VTG.AX,2018-09-13,0.044
214,VTG.AX,2018-03-28,0.047
215,VTG.AX,2017-09-14,0.074
216,VTG.AX,2017-03-09,0.092
217,VTG.AX,2016-09-15,0.0821
218,VTG.AX,2016-03-11,0.0576
219,VTG.AX,2015-09-01,0.0386
220,VTG.AX,2015-03-12,0.0712
221,VGL.AX,2020-03-12,0.017094
222,VGL.AX,2019-09-12,0.011154
223,VGL.AX,2019-03-08,0.017213
224,VGL.AX,2018-09-12,0.01246
225,VGL.AX,2018-03-09,0.01387
226,VGL.AX,2017-09-07,0.018433
227,VGL.AX,2017-03-09,0.03577
228,VRT.AX,2020-03-25,0.12
229,VRT.AX,2019-10-03,0.12
230,VRT.AX,2019-03-28,0.12
231,VRT.AX,2018-09-13,0.12
232,VRT.AX,2018-03-28,0.14
233,VRT.AX,2017-09-14,0.12
234,VRT.AX,2017-03-30,0.13
235,VRT.AX,2016-09-15,0.15
236,VRT.AX,2016-03-31,0.14
237,VRT.AX,2015-09-30,0.14
238,VRT.AX,2015-03-31,0.13
239,VRL.AX,2019-09-13,0.05
240,VRL.AX,2016-09-13,0.14
241,VRL.AX,2016-03-11,0.14
242,VRL.AX,2015-09-11,0.2
243,VRL.AX,2015-09-10,0.14
244,VRL.AX,2015-03-16,0.14
245,VCX.AX,2019-12-30,0.077
246,VCX.AX,2019-06-27,0.0795
247,VCX.AX,2018-12-28,0.0795
248,VCX.AX,2018-06-28,0.082
249,VCX.AX,2017-12-28,0.081
250,VCX.AX,2017-06-29,0.086
251,VCX.AX,2016-12-29,0.087
252,VCX.AX,2016-06-29,0.089
253,VCX.AX,2015-12-29,0.088
254,VCX.AX,2015-06-26,0.085
255,VGI.AX,2020-03-05,0.093
256,VGI.AX,2019-09-02,0.256457
257,VRS.AX,2018-09-10,0.005
258,VRS.AX,2017-08-31,0.005
259,VRS.AX,2016-08-26,0.005
260,VMC.AX,2019-06-19,0.000538
261,VMC.AX,2018-05-03,0.00293
262,VEE.AX,2020-03-06,0.00206
263,VEE.AX,2019-09-12,0.00365
264,VEE.AX,2019-03-07,0.0015
265,VEE.AX,2018-09-06,0.0026
266,VEE.AX,2018-03-08,0.00375
267,VEE.AX,2017-09-06,0.0123
268,VMX.AX,2015-09-28,0.005
269,VMX.AX,2015-03-12,0.005
270,URF.AX,2019-06-27,0.01
271,URF.AX,2018-06-28,0.05
272,URF.AX,2017-12-28,0.05
273,URF.AX,2017-06-29,0.05
274,URF.AX,2016-12-29,0.05
275,URF.AX,2016-06-29,0.05
276,URF.AX,2015-12-29,0.05
277,URF.AX,2015-06-26,0.05
278,UOS.AX,2020-05-19,0.02
279,UOS.AX,2019-10-14,0.005
280,UOS.AX,2019-05-21,0.02
281,UOS.AX,2018-10-15,0.005
282,UOS.AX,2018-05-15,0.025
283,UOS.AX,2017-10-10,0.005
284,UOS.AX,2017-05-15,0.025
285,UOS.AX,2016-10-11,0.005
286,UOS.AX,2016-05-13,0.025
287,UOS.AX,2015-10-14,0.005
288,UOS.AX,2015-05-13,0.02
289,URW.AX,2020-03-24,0.487306
290,URW.AX,2019-07-03,0.302123
291,URW.AX,2019-03-27,0.296573
292,TRA.AX,2020-01-17,0.037808
293,TRA.AX,2019-10-14,0.03699
294,TRA.AX,2019-07-08,0.047291
295,TRA.AX,2019-04-18,0.038154
296,TRA.AX,2019-01-21,0.037511
297,TRA.AX,2018-10-22,0.036541
298,TRA.AX,2018-07-02,0.038906
299,TRA.AX,2018-04-13,0.0361
300,TBR.AX,2019-10-11,0.2
301,TWE.AX,2020-03-04,0.2
302,TWE.AX,2019-09-04,0.2
303,TWE.AX,2019-03-07,0.18
304,TWE.AX,2018-09-05,0.17
305,TWE.AX,2018-03-07,0.15
306,TWE.AX,2017-08-31,0.13
307,TWE.AX,2017-03-03,0.13
308,TWE.AX,2016-08-31,0.12
309,TWE.AX,2016-03-08,0.08
310,TWE.AX,2015-09-02,0.08
311,TWE.AX,2015-03-06,0.06
312,TCL.AX,2019-12-30,0.31
